2026-08-20 19:33:33,401 INFO 강화 이미지 자동 클릭 시작
2026-08-20 19:33:33,401 INFO 모니터1 q1~q4 : enhance1.png
2026-08-20 19:33:33,401 INFO 모니터2 q1~q2 : enhance2.png
2026-08-20 19:33:33,401 INFO threshold=0.82
2026-08-20 19:33:33,401 INFO 클릭 위치=찾은 이미지 정중앙
2026-08-20 19:33:33,401 INFO ESC=프로그램 종료
2026-08-20 19:33:33,431 INFO m1q1 enhance1 감지 0.999 -> 클릭 (4254, 523)
2026-08-20 19:33:33,963 INFO m1q2 enhance1 감지 0.981 -> 클릭 (5217, 523)
2026-08-20 19:33:34,499 INFO m1q3 enhance1 감지 0.951 -> 클릭 (4256, 1040)
2026-08-20 19:33:35,033 INFO m1q4 enhance1 감지 0.953 -> 클릭 (5216, 1039)
2026-08-20 19:33:35,607 INFO m2q1 enhance2 감지 1.000 -> 클릭 (776, 825)
2026-08-20 19:33:36,176 INFO m2q2 enhance2 감지 1.000 -> 클릭 (2696, 825)
2026-08-20 19:33:36,816 INFO m1q1 enhance1 감지 1.000 -> 클릭 (4254, 523)
2026-08-20 19:33:37,358 INFO m1q2 enhance1 감지 0.922 -> 클릭 (5109, 203)
2026-08-20 19:33:37,901 INFO m1q3 enhance1 감지 0.951 -> 클릭 (4256, 1040)
2026-08-20 19:33:38,449 INFO m1q4 enhance1 감지 0.922 -> 클릭 (5109, 719)
2026-08-20 19:33:39,064 INFO m2q1 enhance2 감지 0.988 -> 클릭 (776, 825)
2026-08-20 19:33:39,723 INFO m1q1 enhance1 감지 1.000 -> 클릭 (4254, 523)
2026-08-20 19:33:40,259 INFO m1q2 enhance1 감지 0.981 -> 클릭 (5217, 523)
2026-08-20 19:33:40,790 INFO m1q3 enhance1 감지 0.951 -> 클릭 (4256, 1040)
2026-08-20 19:33:41,324 INFO m1q4 enhance1 감지 0.954 -> 클릭 (5216, 1039)
2026-08-20 19:33:41,900 INFO m2q2 enhance2 감지 1.000 -> 클릭 (2696, 825)
2026-08-20 19:33:42,540 INFO m1q1 enhance1 감지 1.000 -> 클릭 (4254, 523)
2026-08-20 19:33:43,071 INFO m1q2 enhance1 감지 0.923 -> 클릭 (5109, 203)
2026-08-20 19:33:43,605 INFO m1q3 enhance1 감지 0.919 -> 클릭 (4145, 715)
2026-08-20 19:33:44,154 INFO m1q4 enhance1 감지 0.954 -> 클릭 (5216, 1039)
2026-08-20 19:33:44,727 INFO m2q1 enhance2 감지 1.000 -> 클릭 (776, 825)
2026-08-20 19:33:45,393 INFO m1q1 enhance1 감지 0.999 -> 클릭 (4254, 523)
2026-08-20 19:33:45,929 INFO m1q2 enhance1 감지 0.982 -> 클릭 (5217, 523)
2026-08-20 19:33:46,464 INFO m1q3 enhance1 감지 0.951 -> 클릭 (4256, 1040)
2026-08-20 19:33:46,999 INFO m1q4 enhance1 감지 0.954 -> 클릭 (5216, 1039)
2026-08-20 19:33:47,588 INFO m2q2 enhance2 감지 1.000 -> 클릭 (2696, 825)
2026-08-20 19:33:48,240 INFO m1q1 enhance1 감지 0.921 -> 클릭 (4149, 203)
2026-08-20 19:33:48,760 INFO m1q2 enhance1 감지 0.922 -> 클릭 (5109, 203)
2026-08-20 19:33:49,298 INFO m1q3 enhance1 감지 0.951 -> 클릭 (4256, 1040)
2026-08-20 19:33:49,831 INFO m1q4 enhance1 감지 0.954 -> 클릭 (5216, 1039)
2026-08-20 19:33:50,431 INFO m2q1 enhance2 감지 1.000 -> 클릭 (776, 825)
2026-08-20 19:33:51,084 INFO m1q1 enhance1 감지 0.999 -> 클릭 (4254, 523)
2026-08-20 19:33:51,630 INFO m1q2 enhance1 감지 0.982 -> 클릭 (5217, 523)
2026-08-20 19:33:52,163 INFO m1q3 enhance1 감지 0.920 -> 클릭 (4145, 715)
2026-08-20 19:33:52,699 INFO m1q4 enhance1 감지 0.954 -> 클릭 (5216, 1039)
2026-08-20 19:33:53,274 INFO m2q2 enhance2 감지 1.000 -> 클릭 (2696, 825)
